,RunId,iteration,Step,density,width,height,Umidade,TipoVegetacao,Fine,On Fire,PartiallyBurned,Burned Out,Saved index
0,0,0,20,200,100,100,0.0,0.0,0,5,0,9995,0.0
1,1,0,20,200,100,100,0.0,0.4,0,5,0,9995,0.0
2,2,0,19,200,100,100,0.2,0.4,2,48,0,9950,0.0
3,3,0,21,200,100,100,0.2,0.2,0,7,0,9993,0.0
4,4,0,20,200,100,100,0.2,0.0,0,17,0,9983,0.0
5,5,0,21,200,100,100,0.0,0.2,0,4,0,9996,0.0
6,6,0,21,200,100,100,0.0,0.6000000000000001,0,4,0,9996,0.0
7,7,0,21,200,100,100,0.0,0.8,0,1,0,9999,0.0
8,8,0,20,200,100,100,0.2,0.8,0,4,0,9996,0.0
9,9,0,22,200,100,100,0.2,0.6000000000000001,0,6,0,9994,0.0
10,10,0,21,200,100,100,0.4,0.0,0,11,0,9989,0.0
11,11,0,22,200,100,100,0.4,0.2,0,7,6,9987,0.0006004202942059442
12,12,0,22,200,100,100,0.4,0.4,0,7,6,9987,0.0006004202942059442
13,13,0,20,200,100,100,0.6000000000000001,0.0,0,7,0,9993,0.0
14,14,0,23,200,100,100,0.4,0.6000000000000001,0,11,15,9974,0.0015016518169986986
15,15,0,25,200,100,100,0.4,0.8,0,1,23,9976,0.0023002300230023
16,16,0,9,200,100,100,0.6000000000000001,0.8,9145,8,301,546,0.35537190082644626
17,17,0,1,200,100,100,0.8,0.6000000000000001,9746,18,162,74,0.6864406779661016
18,18,0,7,200,100,100,0.8,0.4,9538,1,230,231,0.49891540130151846
19,19,0,2,200,100,100,0.8,0.8,9708,1,202,89,0.6941580756013745
20,20,0,16,200,100,100,0.6000000000000001,0.6000000000000001,8984,2,325,689,0.32051282051282054
21,21,0,27,200,100,100,0.6000000000000001,0.2,0,6,65,9929,0.0065039023414048425
22,22,0,22,200,100,100,0.8,0.0,0,2,0,9998,0.0
23,23,1,20,200,100,100,0.0,0.2,2,16,0,9982,0.0
24,24,1,20,200,100,100,0.0,0.0,0,9,0,9991,0.0
25,25,1,20,200,100,100,0.0,0.4,8,36,0,9956,0.0
26,26,1,20,200,100,100,0.0,0.6000000000000001,6,32,0,9962,0.0
27,27,0,42,200,100,100,0.8,0.2,75,4,405,9516,0.04082249773208346
28,28,0,51,200,100,100,0.6000000000000001,0.4,33,4,503,9460,0.05048680116430794
29,29,1,20,200,100,100,0.0,0.8,0,15,0,9985,0.0
30,30,1,20,200,100,100,0.2,0.0,0,5,0,9995,0.0
31,31,1,20,200,100,100,0.2,0.6000000000000001,0,6,0,9994,0.0
32,32,1,22,200,100,100,0.2,0.2,0,1,0,9999,0.0
33,33,1,21,200,100,100,0.2,0.4,0,3,0,9997,0.0
34,34,1,20,200,100,100,0.2,0.8,0,12,0,9988,0.0
35,35,1,20,200,100,100,0.4,0.0,0,11,0,9989,0.0
36,36,1,22,200,100,100,0.4,0.2,2,48,1,9949,0.00010050251256281407
